id	chrom	len	cumlen
scaffold_group001	ScTjWWh_1002-HRSCAF-1641_RagTag	13499	13499
scaffold_group001	ScTjWWh_1004-HRSCAF-1643_RagTag	430	13929
scaffold_group001	ScTjWWh_1005-HRSCAF-1644_RagTag	2253	16182
scaffold_group001	ScTjWWh_1006-HRSCAF-1645_RagTag	522	16704
scaffold_group001	ScTjWWh_1007-HRSCAF-1646_RagTag	2973	19677
scaffold_group001	ScTjWWh_1011-HRSCAF-1651_RagTag	1869	21546
scaffold_group001	ScTjWWh_1013-HRSCAF-1655_RagTag	8499	30045
scaffold_group001	ScTjWWh_1014-HRSCAF-1658_RagTag	1535	31580
scaffold_group001	ScTjWWh_1016-HRSCAF-1662_RagTag	2924	34504
scaffold_group001	ScTjWWh_1017-HRSCAF-1663_RagTag	331	34835
scaffold_group001	ScTjWWh_1021-HRSCAF-1669_RagTag	2376	37211
scaffold_group001	ScTjWWh_1023-HRSCAF-1676_RagTag	8578	25884313
scaffold_group001	ScTjWWh_1025-HRSCAF-1680_RagTag	637	25884950
scaffold_group001	ScTjWWh_1028-HRSCAF-1686_RagTag	413	25885363
scaffold_group001	ScTjWWh_1029-HRSCAF-1687_RagTag	2559	25887922
scaffold_group001	ScTjWWh_1030-HRSCAF-1688_RagTag	2470	25890392
scaffold_group001	ScTjWWh_1033-HRSCAF-1697_RagTag	16568	25906960
scaffold_group001	ScTjWWh_1034-HRSCAF-1699_RagTag	360	25907320
scaffold_group001	ScTjWWh_1035-HRSCAF-1701_RagTag	1218	25908538
scaffold_group001	ScTjWWh_1036-HRSCAF-1702_RagTag	412	25908950
scaffold_group001	ScTjWWh_1038-HRSCAF-1704_RagTag	1015	25909965
scaffold_group001	ScTjWWh_1042-HRSCAF-1709_RagTag	1638	25911603
scaffold_group001	ScTjWWh_1043-HRSCAF-1712_RagTag	306	25911909
scaffold_group001	ScTjWWh_1047-HRSCAF-1718_RagTag	4756	25916665
scaffold_group001	ScTjWWh_1049-HRSCAF-1720_RagTag	24781	25941446
scaffold_group001	ScTjWWh_104-HRSCAF-181_RagTag	1006	25942452
scaffold_group001	ScTjWWh_1050-HRSCAF-1722_RagTag	13566	25956018
scaffold_group001	ScTjWWh_1057-HRSCAF-1731_RagTag	1932	25957950
scaffold_group001	ScTjWWh_1058-HRSCAF-1733_RagTag	2651	25960601
scaffold_group001	ScTjWWh_1063-HRSCAF-1739_RagTag	14310	25974911
scaffold_group002	ScTjWWh_1069-HRSCAF-1747_RagTag	4063	25978974
scaffold_group002	ScTjWWh_1073-HRSCAF-1751_RagTag	5601	25984575
scaffold_group002	ScTjWWh_1074-HRSCAF-1752_RagTag	291411	26275986
scaffold_group002	ScTjWWh_1078-HRSCAF-1759_RagTag	2942	26278928
scaffold_group002	ScTjWWh_107-HRSCAF-184_RagTag	265265	26544193
scaffold_group002	ScTjWWh_1083-HRSCAF-1766_RagTag	5483	26549676
scaffold_group002	ScTjWWh_1085-HRSCAF-1770_RagTag	4235	26553911
scaffold_group002	ScTjWWh_1087-HRSCAF-1773_RagTag	3068	26556979
scaffold_group002	ScTjWWh_1088-HRSCAF-1775_RagTag	273	26557252
scaffold_group002	ScTjWWh_1090-HRSCAF-1777_RagTag	2297	26559549
scaffold_group002	ScTjWWh_1091-HRSCAF-1778_RagTag	6138	26565687
scaffold_group002	ScTjWWh_1096-HRSCAF-1787_RagTag	2229	26567916
scaffold_group002	ScTjWWh_109-HRSCAF-188_RagTag	2284	26570200
scaffold_group002	ScTjWWh_1101-HRSCAF-1795_RagTag	14171	26584371
scaffold_group002	ScTjWWh_1105-HRSCAF-1799_RagTag	12805	26597176
scaffold_group002	ScTjWWh_1106-HRSCAF-1800_RagTag	1520	26598696
scaffold_group002	ScTjWWh_1111-HRSCAF-1806_RagTag	5452	26604148
scaffold_group002	ScTjWWh_1114-HRSCAF-1813_RagTag	3724	26607872
scaffold_group002	ScTjWWh_1117-HRSCAF-1819_RagTag	479	26608351
scaffold_group002	ScTjWWh_1119-HRSCAF-1822_RagTag	5325	26613676
scaffold_group002	ScTjWWh_1123-HRSCAF-1828_RagTag	4571	26618247
scaffold_group002	ScTjWWh_1125-HRSCAF-1837_RagTag	93665	26711912
scaffold_group002	ScTjWWh_1132-HRSCAF-1849_RagTag	5639	26717551
scaffold_group002	ScTjWWh_1137-HRSCAF-1858_RagTag	355	26717906
scaffold_group002	ScTjWWh_1138-HRSCAF-1859_RagTag	591	26718497
scaffold_group002	ScTjWWh_1139-HRSCAF-1860_RagTag	3297	26721794
scaffold_group002	ScTjWWh_1144-HRSCAF-1870_RagTag	4019	26725813
scaffold_group002	ScTjWWh_1147-HRSCAF-1875_RagTag	3656	26729469
scaffold_group002	ScTjWWh_1148-HRSCAF-1876_RagTag	764	26730233
