id	scatter_idx	chrom	start	end	scatter_length
ScTjWWh_1022-HRSCAF-1675_RagTag	scat_0001	ScTjWWh_1022-HRSCAF-1675_RagTag	1	4306421	4306421
ScTjWWh_1022-HRSCAF-1675_RagTag	scat_0002	ScTjWWh_1022-HRSCAF-1675_RagTag	4306422	8612842	4306421
ScTjWWh_1022-HRSCAF-1675_RagTag	scat_0003	ScTjWWh_1022-HRSCAF-1675_RagTag	8612843	12919263	4306421
ScTjWWh_1022-HRSCAF-1675_RagTag	scat_0004	ScTjWWh_1022-HRSCAF-1675_RagTag	12919264	17225684	4306421
ScTjWWh_1022-HRSCAF-1675_RagTag	scat_0005	ScTjWWh_1022-HRSCAF-1675_RagTag	17225685	21532105	4306421
ScTjWWh_1022-HRSCAF-1675_RagTag	scat_0006	ScTjWWh_1022-HRSCAF-1675_RagTag	21532106	25838524	4306419
ScTjWWh_129-HRSCAF-223_RagTag	scat_0001	ScTjWWh_129-HRSCAF-223_RagTag	1	4116328	4116328
ScTjWWh_129-HRSCAF-223_RagTag	scat_0002	ScTjWWh_129-HRSCAF-223_RagTag	4116329	8232656	4116328
ScTjWWh_129-HRSCAF-223_RagTag	scat_0003	ScTjWWh_129-HRSCAF-223_RagTag	8232657	12348984	4116328
ScTjWWh_129-HRSCAF-223_RagTag	scat_0004	ScTjWWh_129-HRSCAF-223_RagTag	12348985	16465312	4116328
ScTjWWh_1396-HRSCAF-2239_RagTag	scat_0001	ScTjWWh_1396-HRSCAF-2239_RagTag	1	4132188	4132188
ScTjWWh_1396-HRSCAF-2239_RagTag	scat_0002	ScTjWWh_1396-HRSCAF-2239_RagTag	4132189	8264376	4132188
ScTjWWh_1396-HRSCAF-2239_RagTag	scat_0003	ScTjWWh_1396-HRSCAF-2239_RagTag	8264377	12396564	4132188
ScTjWWh_1396-HRSCAF-2239_RagTag	scat_0004	ScTjWWh_1396-HRSCAF-2239_RagTag	12396565	16528752	4132188
ScTjWWh_1396-HRSCAF-2239_RagTag	scat_0005	ScTjWWh_1396-HRSCAF-2239_RagTag	16528753	20660940	4132188
ScTjWWh_149-HRSCAF-266_RagTag	scat_0001	ScTjWWh_149-HRSCAF-266_RagTag	1	4843450	4843450
ScTjWWh_149-HRSCAF-266_RagTag	scat_0002	ScTjWWh_149-HRSCAF-266_RagTag	4843451	9686900	4843450
ScTjWWh_149-HRSCAF-266_RagTag	scat_0003	ScTjWWh_149-HRSCAF-266_RagTag	9686901	14530350	4843450
ScTjWWh_149-HRSCAF-266_RagTag	scat_0004	ScTjWWh_149-HRSCAF-266_RagTag	14530351	19373800	4843450
